*Vertices 683
1 "org.apache.commons.collections4.AbstractArrayListTest"
2 "org.apache.commons.collections4.AbstractLinkedListTest"
3 "org.apache.commons.collections4.AbstractObjectTest"
4 "org.apache.commons.collections4.AbstractTreeMapTest"
5 "org.apache.commons.collections4.ArrayUtils"
6 "org.apache.commons.collections4.Bag"
7 "org.apache.commons.collections4.BagUtils"
8 "org.apache.commons.collections4.BagUtilsTest"
9 "org.apache.commons.collections4.BidiMap"
10 "org.apache.commons.collections4.BoundedCollection"
11 "org.apache.commons.collections4.BoundedMap"
12 "org.apache.commons.collections4.BulkTest"
13 "org.apache.commons.collections4.Closure"
14 "org.apache.commons.collections4.ClosureUtils"
15 "org.apache.commons.collections4.ClosureUtilsTest$MockClosure"
16 "org.apache.commons.collections4.ClosureUtilsTest$MockTransformer"
17 "org.apache.commons.collections4.CollectionUtils"
18 "org.apache.commons.collections4.CollectionUtils$CardinalityHelper"
19 "org.apache.commons.collections4.CollectionUtils$EquatorWrapper"
20 "org.apache.commons.collections4.CollectionUtils$SetOperationCardinalityHelper"
21 "org.apache.commons.collections4.CollectionUtilsTest"
22 "org.apache.commons.collections4.ComparatorUtils"
23 "org.apache.commons.collections4.EnumerationUtils"
24 "org.apache.commons.collections4.Equator"
25 "org.apache.commons.collections4.Factory"
26 "org.apache.commons.collections4.FactoryUtils"
27 "org.apache.commons.collections4.FactoryUtilsTest$Mock1"
28 "org.apache.commons.collections4.FactoryUtilsTest$Mock3"
29 "org.apache.commons.collections4.FluentIterable"
30 "org.apache.commons.collections4.FluentIterableTest"
31 "org.apache.commons.collections4.FunctorException"
32 "org.apache.commons.collections4.Get"
33 "org.apache.commons.collections4.IterableGet"
34 "org.apache.commons.collections4.IterableMap"
35 "org.apache.commons.collections4.IterableSortedMap"
36 "org.apache.commons.collections4.IterableUtils"
37 "org.apache.commons.collections4.IterableUtils$UnmodifiableIterable"
38 "org.apache.commons.collections4.IterableUtilsTest"
39 "org.apache.commons.collections4.IteratorUtils"
40 "org.apache.commons.collections4.KeyValue"
41 "org.apache.commons.collections4.ListUtils"
