*Vertices 251
1 "org.opengis.annotation.ComplianceLevel"
2 "org.opengis.annotation.Obligation"
3 "org.opengis.annotation.Profile"
4 "org.opengis.annotation.Specification"
5 "org.opengis.annotation.UML"
6 "org.opengis.feature.type.FeatureType"
7 "org.opengis.geometry.DirectPosition"
8 "org.opengis.geometry.Envelope"
9 "org.opengis.geometry.Geometry"
10 "org.opengis.geometry.MismatchedDimensionException"
11 "org.opengis.geometry.coordinate.Position"
12 "org.opengis.geometry.primitive.Point"
13 "org.opengis.metadata.ApplicationSchemaInformation"
14 "org.opengis.metadata.Datatype"
15 "org.opengis.metadata.ExtendedElementInformation"
16 "org.opengis.metadata.Identifier"
17 "org.opengis.metadata.Metadata"
18 "org.opengis.metadata.MetadataExtensionInformation"
19 "org.opengis.metadata.Obligation"
20 "org.opengis.metadata.acquisition.AcquisitionInformation"
21 "org.opengis.metadata.acquisition.Context"
22 "org.opengis.metadata.acquisition.EnvironmentalRecord"
23 "org.opengis.metadata.acquisition.Event"
24 "org.opengis.metadata.acquisition.GeometryType"
25 "org.opengis.metadata.acquisition.Instrument"
26 "org.opengis.metadata.acquisition.Objective"
27 "org.opengis.metadata.acquisition.ObjectiveType"
28 "org.opengis.metadata.acquisition.Operation"
29 "org.opengis.metadata.acquisition.OperationType"
30 "org.opengis.metadata.acquisition.Plan"
31 "org.opengis.metadata.acquisition.Platform"
32 "org.opengis.metadata.acquisition.PlatformPass"
33 "org.opengis.metadata.acquisition.Priority"
34 "org.opengis.metadata.acquisition.RequestedDate"
35 "org.opengis.metadata.acquisition.Requirement"
36 "org.opengis.metadata.acquisition.Sequence"
37 "org.opengis.metadata.acquisition.Trigger"
38 "org.opengis.metadata.citation.Address"
39 "org.opengis.metadata.citation.Citation"
40 "org.opengis.metadata.citation.CitationDate"
41 "org.opengis.metadata.citation.Contact"
42 "org.opengis.metadata.citation.DateType"
43 "org.opengis.metadata.citation.OnLineFunction"
44 "org.opengis.metadata.citation.OnlineResource"
45 "org.opengis.metadata.citation.PresentationForm"
46 "org.opengis.metadata.citation.ResponsibleParty"
47 "org.opengis.metadata.citation.Role"
48 "org.opengis.metadata.citation.Series"
49 "org.opengis.metadata.citation.Telephone"
50 "org.opengis.metadata.constraint.Classification"
51 "org.opengis.metadata.constraint.LegalConstraints"
52 "org.opengis.metadata.constraint.Restriction"
53 "org.opengis.metadata.constraint.SecurityConstraints"
54 "org.opengis.metadata.content.Band"
55 "org.opengis.metadata.content.BandDefinition"
56 "org.opengis.metadata.content.ContentInformation"
57 "org.opengis.metadata.content.CoverageContentType"
58 "org.opengis.metadata.content.CoverageDescription"
59 "org.opengis.metadata.content.FeatureCatalogueDescription"
60 "org.opengis.metadata.content.ImageDescription"
61 "org.opengis.metadata.content.ImagingCondition"
62 "org.opengis.metadata.content.PolarizationOrientation"
63 "org.opengis.metadata.content.RangeDimension"
64 "org.opengis.metadata.content.RangeElementDescription"
65 "org.opengis.metadata.content.TransferFunctionType"
66 "org.opengis.metadata.distribution.DataFile"
67 "org.opengis.metadata.distribution.DigitalTransferOptions"
68 "org.opengis.metadata.distribution.Distribution"
69 "org.opengis.metadata.distribution.Distributor"
70 "org.opengis.metadata.distribution.Format"
71 "org.opengis.metadata.distribution.Medium"
72 "org.opengis.metadata.distribution.MediumFormat"
73 "org.opengis.metadata.distribution.MediumName"
74 "org.opengis.metadata.distribution.StandardOrderProcess"
75 "org.opengis.metadata.extent.BoundingPolygon"
76 "org.opengis.metadata.extent.Extent"
77 "org.opengis.metadata.extent.GeographicBoundingBox"
78 "org.opengis.metadata.extent.GeographicDescription"
79 "org.opengis.metadata.extent.GeographicExtent"
80 "org.opengis.metadata.extent.SpatialTemporalExtent"
81 "org.opengis.metadata.extent.TemporalExtent"
82 "org.opengis.metadata.extent.VerticalExtent"
